No.	Word	Valence_Mean	Valence_SD	Arousal_Mean	Arousal_SD	Frequency
3562	莫名其妙	2.9	2.247	6.4	0.962	53
3530	自滿	4.5	2.121	5.7	1.887	16
795	笑死	5.4	1.96	7	0.894	10
2297	台獨	5.6	1.96	6.8	1.47	72
4782	殲滅	3.9	1.917	6.1	1.597	0
4213	特立獨行	6.2	1.891	5.8	1.151	9
3371	根絕	3.8	1.86	4.8	1.939	0
3207	一笑置之	6.4	1.855	4.7	1.077	0
5319	自慰	4.6	1.817	4.6	1.636	31
5031	挑逗	4.5	1.803	5.6	1.949	9
5051	野性	4.5	1.803	4.5	1.5	9
2251	逮捕	4	1.79	5.4	1.85	119
3975	震撼	5.3	1.789	7.6	0.822	79
3063	粉碎	3.9	1.744	6.5	1	23
4704	激憤	2.5	1.732	8.6	0.548	11
3377	發洩	3.8	1.691	6.5	0.632	55
2822	定罪	4.1	1.685	4.7	1.077	0
5450	妖艷	5.8	1.681	5.5	1.225	0
5451	妖豔	5.8	1.681	5.5	1.225	0
3802	險峻	3.4	1.673	5.4	1.475	17
4382	身歷其境	6.1	1.673	6.1	0.962	20
4987	送葬	2.4	1.673	5.1	2.46	4
5175	豬母	3.1	1.673	4.1	1.673	0
3862	容納不下	2.8	1.643	4	1.225	0
4377	狂爆	3.6	1.636	8.3	1.095	0
326	生氣	5.4	1.625	5.8	1.47	283
2935	擊潰	4.9	1.625	5.5	1.844	0
3149	救命	3.4	1.625	8.1	0.917	34
3432	樂此不疲	7.1	1.625	7.1	0.583	19
4290	上鏡頭	6.7	1.605	5.4	1.817	0
1342	嬉笑	5.8	1.6	5.6	1.497	6
1577	嚴格	3.8	1.6	6.8	1.166	299
1611	驕傲	4.8	1.6	6.4	1.02	114
3444	無瑕	5.8	1.6	3.3	0.6	10
3226	誇耀	5.6	1.594	6.6	0.97	17
4124	內斂	6.3	1.565	3.2	1.095	26
4861	砍掉	3.7	1.565	4.6	2.043	12
5149	舊病	3.6	1.557	1.8	1.304	0
5150	舊疾	3.6	1.557	1.8	1.304	0
459	扶持	6	1.549	4.2	1.166	38
4306	手癢	4.2	1.525	6.6	0.962	4
3818	過熟	4.4	1.517	5	1.414	0
4286	一目了然	6.9	1.517	2.8	1.483	14
4287	一目瞭然	6.9	1.517	2.8	1.483	8
4838	以牙還牙	3.1	1.517	6.2	1.891	0
5161	隕落	2.9	1.517	2.6	1.517	0
5182	養不起	3.1	1.517	3.2	1.304	4
3654	超兇	2.5	1.5	7.9	0.894	0
4586	要死	2.5	1.5	7	1.225	0
72	玩	5.6	1.497	5.8	0.98	896
1115	著迷	5.6	1.497	7	0.632	31
1606	歡愉	6.6	1.497	6.8	0.98	24
3017	恆久	6.1	1.497	2.9	1.02	9
4667	嚇呆	3.2	1.483	4.8	1.483	11
4762	地獄	3.2	1.483	3.5	1.581	67
4977	低聲下氣	3.2	1.483	3.4	1.673	0
5118	得意揚揚	6.2	1.483	5.2	2.28	0
5198	臨死	2.7	1.483	5	1.871	0
4248	貴	3.1	1.475	5.3	1.681	224
749	悔之	4.2	1.47	5.6	1.356	0
885	掛念	4.8	1.47	5.2	1.47	8
886	掛慮	4.8	1.47	6	0	0
1057	愉	5.8	1.47	5.2	1.327	0
1092	無懼	5.8	1.47	5.8	1.166	5
1130	陽光	7.2	1.47	5	1.897	317
1270	嫩	5.2	1.47	4.4	1.2	25
1634	驚駭	3.2	1.47	7.8	0.4	0
3062	爆破	4.2	1.47	7.1	1.114	9
2808	牲畜	3.4	1.463	5.4	2.939	13
4269	廉價	4	1.458	3.3	1.304	40
4299	井井有條	7	1.458	4.2	1.304	8
4814	夭折	3	1.458	6.1	1.517	14
4836	亂砍	3	1.458	6.2	1.351	0
3861	倚賴	4.2	1.44	4.1	1.342	22
4376	灼熱	3.7	1.44	7.6	1.14	7
3258	有說有笑	6.8	1.435	6.5	0.894	10
3820	離奇	4.9	1.432	6.9	1.245	10
4281	精打細算	7.1	1.432	4.1	1.194	15
5189	好戰者	4.1	1.432	5.3	1.987	0
5190	好戰份子	4.1	1.432	5.3	1.987	0
3283	醉人	6.1	1.428	6	1.871	11
3295	失明	2.1	1.428	5.5	2.864	18
892	救	5	1.414	6.4	0.49	224
1230	羨慕	6	1.414	5.6	0.49	114
1509	擊敗	6	1.414	6.8	1.166	90
3050	廢墟	3.5	1.414	4.1	2.245	21
3306	未雨綢繆	6	1.414	5	0.707	25
3714	壽終正寢	2.5	1.414	3.9	1.432	5
3824	隨心所欲	6.5	1.414	3.3	1.483	18
4706	奸詐	2	1.414	5.1	1.597	6
4742	嚎啕大哭	3.5	1.414	7.3	1.681	0
4756	困頓	3.5	1.414	3.9	1.782	18
5052	兇猛	3.5	1.414	5.5	1.581	11
5053	凶猛	3.5	1.414	5.5	1.581	10
5169	報應	2.5	1.414	5.4	2.302	10
2421	遏止	4	1.41	6	1.41	34
3019	伊甸園	6.3	1.4	4.6	1.594	0
3194	滋養	6.7	1.4	4.4	1.744	12
4383	邪不勝正	7.7	1.396	5.6	0.652	0
4711	大言不慚	3.7	1.396	3.8	1.681	0
4778	專權	3.3	1.396	4.2	1.956	0
4905	不可理喻	3.3	1.396	6.2	1.44	10
4934	冷眼	3.3	1.396	3.1	1.746	6
4935	冷眼旁觀	3.3	1.396	3.1	1.746	10
5176	撐住	5.3	1.396	4	1.225	0
3465	雄辯	5.4	1.393	6.3	1.327	0
3969	拘泥	3.4	1.387	3.8	1.304	31
4868	患得患失	3.4	1.387	4	1.696	5
4923	誤人子弟	3.4	1.387	3.9	0.894	9
3337	最低	3.5	1.378	4.3	1.6	0
4750	驚醒	3.5	1.369	5.7	0.837	33
5214	野蠻人	3	1.369	5.6	0.548	4
2284	絕不	3.4	1.36	5.8	1.17	336
2414	擺脫	4.4	1.36	5.6	0.49	124
2697	罷黜	3.6	1.36	5.8	1.72	10
2735	質問	3.6	1.36	6.2	1.17	46
43	無暇	3.6	1.356	5.6	1.2	20
196	調情	5.4	1.356	6.8	0.748	6
389	死對頭	2.6	1.356	7.4	1.02	6
482	狂熱	4.6	1.356	8.8	0.4	39
492	使勁	4.6	1.356	6.4	0.8	22
493	依戀	5.6	1.356	5.6	1.855	13
514	咆嘯	3.6	1.356	8	0.632	0
630	哈哈	6.6	1.356	6	0.894	135
915	牽掛	4.4	1.356	5	1.265	15
1087	無辜	4.4	1.356	4	1.789	49
1294	瘋	2.6	1.356	7.8	0.748	24
1346	德行	6.6	1.356	3.2	1.6	18
1429	震驚	3.6	1.356	7.4	1.02	66
1630	驚嘆	5.4	1.356	7.6	0.8	25
3255	溫順	7.1	1.356	4.9	1.158	0
3840	彎腰駝背	3.2	1.351	2.6	1.517	0
4998	盜賊	3.3	1.351	3.8	1.643	8
5197	憋死	3.2	1.351	5.4	2.191	0
3652	詞不達意	3.1	1.342	4.7	1.643	0
3690	超時	3.1	1.342	5.5	1.414	0
3720	嘩然	3.1	1.342	6.8	1.304	0
3771	熄火	3.4	1.342	4.8	1.304	7
3870	迷上	5.1	1.342	7	1.061	16
3883	鬆垮	2.6	1.342	5.3	1.483	0
3970	放不下	3.1	1.342	5.3	1.483	12
4049	迷茫	3.4	1.342	2.7	1.396	11
4066	失禮	2.4	1.342	5.2	1.643	10
4102	有恃無恐	4.4	1.342	4.3	0.975	8
4609	當頭棒喝	5.9	1.342	7.6	1.517	11
4625	漠不關心	2.4	1.342	2.4	1.517	13
4707	如釋重負	7.1	1.342	2.4	1.673	7
4722	鬧鬼	2.4	1.342	7.4	1.673	5
4728	找碴	2.4	1.342	7	1.581	0
4729	找麻煩	2.4	1.342	7	1.581	5
4741	尖叫	4.1	1.342	7.6	1.387	18
4797	倒下	3.9	1.342	3.6	1.636	17
4883	通敵	3.1	1.342	4.2	1.643	0
4964	自命清高	3.1	1.342	4	1.581	0
4971	大怒	2.9	1.342	7.9	1.245	22
5021	發脾氣	3.1	1.342	7.6	1.14	50
5157	進退維谷	4.1	1.342	3.1	3.324	4
5160	洋鬼子	2.4	1.342	3	2.449	0
5207	鬱結	2.9	1.342	2.9	2.133	0
5242	狂野	5.6	1.342	6.7	1.396	10
3231	消散	5.7	1.33	3.3	0.98	8
352	多情	4.2	1.327	6	1.095	19
582	玩樂	6.2	1.327	6.6	0.49	26
684	盼望	6.2	1.327	5.4	1.855	77
1116	虛心	6.2	1.327	2.6	1.356	23
3061	謠傳	4.3	1.327	5.2	1.288	0
3144	逆境	3.3	1.327	4.6	0.49	15
3414	最高	7.2	1.327	5.6	1.744	0
3632	深植人心	6.5	1.323	5.4	1.342	7
3729	潮溼	3.5	1.323	3.6	1.342	21
3730	潮濕	3.5	1.323	3.6	1.342	34
4673	不甩	3.5	1.323	3.4	1.673	0
382	死不	3.8	1.304	5.6	0.894	0
3636	痊癒	7.2	1.304	4.9	1.636	41
3637	無以復加	3.8	1.304	6.1	1.14	0
3655	無與倫比	7.8	1.304	7.3	1.255	7
3660	超重	3.2	1.304	5	1.581	4
3686	單薄	3.2	1.304	3.1	1.432	12
3694	無所不包	6.8	1.304	4.9	1.245	0
3709	遙遙無期	2.7	1.304	4	1.414	8
3710	遜	2.2	1.304	6.5	1.414	10
3713	念念不忘	6.2	1.304	4.7	1.396	17
3717	酸澀	3.2	1.304	4.9	1.517	0
3724	綽綽有餘	7.2	1.304	3	1.369	7
3726	赫赫有名	7.7	1.304	6.4	1.342	5
3727	標新立異	6.3	1.304	5.6	1.517	10
3733	酷炫	6.8	1.304	5.3	1.204	0
3750	斷線	2.3	1.304	5.4	1.517	4
3787	魂牽夢縈	5.8	1.304	4.3	1.483	0
3817	超速	3.2	1.304	7.5	1.5	12
3836	囉唆	3.2	1.304	6.8	1.643	7
3837	囉嗦	3.2	1.304	6.8	1.643	10
3838	囉囉唆唆	3.2	1.304	6.8	1.643	0
3839	囉囉嗦嗦	3.2	1.304	6.8	1.643	0
3847	鶴立雞群	8.2	1.304	6.2	1.304	4
3865	蟬聯	7.8	1.304	7.1	0.894	21
3887	優越	7.7	1.304	6.1	1.025	58
3931	變扁	3.3	1.304	4.5	1.581	0
3944	舉足輕重	6.2	1.304	5.7	1.204	28
3958	不及	2.2	1.304	4.6	1.517	75
3959	比不上	2.2	1.304	4.6	1.517	61
3960	心疼	2.8	1.304	6.3	1.095	49
4015	乾枯	2.8	1.304	2	1	7
4204	沈穩	6.3	1.304	4.6	0.894	12
4205	沉穩	6.3	1.304	4.6	0.894	9
4564	危險期	2.8	1.304	5.2	1.304	0
4616	刪減	3.8	1.304	4	1.541	16
4631	受驚	3.8	1.304	6	1	7
